City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Eyl,SO,78.8,few clouds,7.9803,49.8164,Amiin Hotel
4,Namwala,ZM,73.33,broken clouds,-15.7504,26.4384,Corner Point Lodge
7,Vaini,TO,80.33,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Moundou,TD,77.88,scattered clouds,8.5667,16.0833,Planete Life
11,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
18,Kapaa,US,79.2,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Upington,ZA,74.41,overcast clouds,-28.4478,21.2561,River Place Manor
20,Carnarvon,AU,76.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,Sinnamary,GF,80.15,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Mahebourg,MU,73.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Hobyo,SO,81.19,light rain,5.3505,48.5268,Halane Hotel and Restaurent
35,Sao Joao Da Barra,BR,73.71,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
41,Jacareacanga,BR,78.57,moderate rain,-6.2222,-57.7528,Casa do Ian😎
44,Tayu,ID,77.9,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
45,Waingapu,ID,80.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
52,Chuy,UY,72.09,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
55,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
59,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Kavieng,PG,82.99,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
73,Hilo,US,75.79,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Rikitea,PF,76.28,clear sky,-23.1203,-134.9692,People ThankYou
81,Bonthe,SL,80.85,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
84,Sechura,PE,76.28,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
86,Boa Vista,BR,91.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
89,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
91,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
92,Kroya,ID,77.67,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
93,Iturama,BR,87.12,few clouds,-19.7281,-50.1956,República DominaCana
94,Tres Arroyos,AR,79.2,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
95,Butaritari,KI,82.69,broken clouds,3.0707,172.7902,Isles Sunset Lodge
96,San Rafael,AR,85.23,clear sky,-34.6177,-68.3301,Hotel San Rafael
104,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
109,Kota Belud,MY,75.06,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
112,Bengkulu,ID,77.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
113,Souillac,MU,73.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
115,Alta Floresta,BR,79.65,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
116,Nikki,BJ,79.23,clear sky,9.9401,3.2108,Hotel John
119,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
120,Atuona,PF,78.48,light rain,-9.8,-139.0333,Villa Enata
121,Yeppoon,AU,73.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
124,Chiredzi,ZW,73.18,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
127,Lompoc,US,78.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
