City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Podyuga,RU,61.095,40.8647,28.78,96,100,10.67,snow
1,Provideniya,RU,64.3833,-173.3,3.31,60,40,8.95,scattered clouds
2,Eyl,SO,7.9803,49.8164,78.8,82,19,19.82,few clouds
3,Hermanus,ZA,-34.4187,19.2345,63.81,74,0,25.88,clear sky
4,Namwala,ZM,-15.7504,26.4384,73.33,66,79,4.7,broken clouds
5,Kargat,RU,55.1956,80.2811,-6.02,99,23,7.07,few clouds
6,Fortuna,US,40.5982,-124.1573,61.86,69,1,1.01,clear sky
7,Vaini,TO,-21.2,-175.2,80.33,74,56,5.59,broken clouds
8,Albany,US,42.6001,-73.9662,43.75,65,100,1.74,overcast clouds
9,Moundou,TD,8.5667,16.0833,77.88,27,42,2.1,scattered clouds
10,Juneau,US,58.3019,-134.4197,37.85,94,90,13.8,mist
11,Avarua,CK,-21.2078,-159.775,80.65,83,6,10.36,light rain
12,Koslan,RU,63.4564,48.8989,6.31,98,100,2.71,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,43.25,93,100,6.98,moderate rain
14,Mchinji,MW,-13.7984,32.8802,66.09,94,100,7.52,overcast clouds
15,Tailai,CN,46.3833,123.4,9.1,87,25,4.09,scattered clouds
16,Port Elizabeth,ZA,-33.918,25.5701,64.69,72,75,21.85,broken clouds
17,Thompson,CA,55.7435,-97.8558,5.9,81,98,4.5,overcast clouds
18,Kapaa,US,22.0752,-159.319,79.2,70,73,3.0,broken clouds
19,Upington,ZA,-28.4478,21.2561,74.41,40,100,23.24,overcast clouds
20,Carnarvon,AU,-24.8667,113.6333,76.6,41,0,9.91,clear sky
21,Cape Town,ZA,-33.9258,18.4232,69.35,55,0,13.53,clear sky
22,Ilulissat,GL,69.2167,-51.1,24.82,68,99,14.97,overcast clouds
23,Barrow,US,71.2906,-156.7887,-9.38,70,20,14.97,haze
24,Qaanaaq,GL,77.484,-69.3632,-3.17,70,100,6.13,overcast clouds
25,Comodoro Rivadavia,AR,-45.8667,-67.5,59.99,58,98,21.52,overcast clouds
26,Sinnamary,GF,5.3833,-52.95,80.15,81,63,5.97,broken clouds
27,Nishihara,JP,26.1842,127.7558,67.28,68,75,10.36,broken clouds
28,Furano,JP,43.2818,142.4743,25.56,94,93,5.55,light snow
29,Mahebourg,MU,-20.4081,57.7,73.26,72,0,2.1,clear sky
30,Hobyo,SO,5.3505,48.5268,81.19,82,53,17.52,light rain
31,Ozark,US,37.0209,-93.206,43.45,59,26,7.0,scattered clouds
32,Cherskiy,RU,68.75,161.3,-24.36,100,100,3.36,overcast clouds
33,Zhigalovo,RU,54.8097,105.1578,16.75,92,100,3.15,overcast clouds
34,Ribeira Grande,PT,38.5167,-28.7,61.2,72,40,24.16,scattered clouds
35,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.71,77,3,9.53,clear sky
36,Lebu,CL,-37.6167,-73.65,60.75,78,16,11.07,few clouds
37,Port Alfred,ZA,-33.5906,26.891,64.53,71,100,23.26,overcast clouds
38,Shimoda,JP,34.6667,138.95,47.1,65,0,22.06,clear sky
39,Bethel,US,41.3712,-73.414,55.04,51,20,3.44,few clouds
40,Busselton,AU,-33.65,115.3333,59.04,80,92,10.27,overcast clouds
41,Jacareacanga,BR,-6.2222,-57.7528,78.57,94,99,2.68,moderate rain
42,Marsaxlokk,MT,35.8419,14.5431,63.09,88,0,6.91,clear sky
43,Korem,ET,12.5058,39.5228,56.08,65,79,6.53,broken clouds
44,Tayu,ID,-6.5397,111.0518,77.9,87,100,5.23,overcast clouds
